date,china_cpi_inflation
1987-01-01,7.23383553065609
1988-01-01,18.8118179448753
1989-01-01,18.2456383621648
1990-01-01,3.05229012075233
1991-01-01,3.55668565220452
1992-01-01,6.35398134024869
1993-01-01,14.6100786356602
1994-01-01,24.2569897243361
1995-01-01,16.7912251650916
1996-01-01,8.31316028893909
1997-01-01,2.78646505531882
1998-01-01,-0.773186011549318
1999-01-01,-1.40147268276465
2000-01-01,0.347811226864587
2001-01-01,0.719125609120114
2002-01-01,-0.731970902350244
2003-01-01,1.12760348729637
2004-01-01,3.82463743108159
2005-01-01,1.77641407667571
2006-01-01,1.6494309945586
2007-01-01,4.81676767378834
2008-01-01,5.92525137041092
2009-01-01,-0.728165250932898
2010-01-01,3.17532475269199
2011-01-01,5.55389892257493
2012-01-01,2.61952432645541
2013-01-01,2.62105001748115
2014-01-01,1.92164162788521
2015-01-01,1.43702380935655
2016-01-01,2.00000182191943
2017-01-01,1.59313600071436
2018-01-01,2.07479039965576
2019-01-01,2.89923416358227
2020-01-01,2.41942189457782
2021-01-01,0.981015135544882
2022-01-01,1.97357555739051
2023-01-01,0.234836828893051
2024-01-01,0.218128938439177
