date,china_gdp_real_usd
1960-01-01,158907448897.851
1961-01-01,115573387577.228
1962-01-01,109124392561.749
1963-01-01,120364204991.679
1964-01-01,142246417451.728
1965-01-01,166357185215.302
1966-01-01,184074225438.098
1967-01-01,173453142622.861
1968-01-01,166341563798.779
1969-01-01,194519824699.74
1970-01-01,232062150860.376
1971-01-01,248445738707.722
1972-01-01,257911521353.032
1973-01-01,277925455412.202
1974-01-01,284345533440.415
1975-01-01,309140463949.254
1976-01-01,304286958660.14
1977-01-01,327321481434.924
1978-01-01,364393840371.876
1979-01-01,392056159908.458
1980-01-01,422770408019.505
1981-01-01,444385648943.338
1982-01-01,484456409125.223
1983-01-01,536633345444.084
1984-01-01,618156214897.21
1985-01-01,701178782692.455
1986-01-01,763934015643.453
1987-01-01,852989071904.214
1988-01-01,948716580689.189
1989-01-01,988622772158.878
1990-01-01,1027379269906.5
1991-01-01,1122543213961.28
1992-01-01,1282219705619.77
1993-01-01,1460239618602.01
1994-01-01,1650608234052.85
1995-01-01,1831415106374.65
1996-01-01,2013138309684.44
1997-01-01,2199087464269.01
1998-01-01,2371626806476.09
1999-01-01,2553332587278.43
2000-01-01,2770112908903.6
2001-01-01,3001022138034.24
2002-01-01,3275124420038.43
2003-01-01,3603882407613.85
2004-01-01,3968365429214.8
2005-01-01,4420544471398.72
2006-01-01,4982879973774.79
2007-01-01,5691986693310.73
2008-01-01,6241302053216.75
2009-01-01,6827904909100.22
2010-01-01,7554112071638.2
2011-01-01,8275592638197.0
2012-01-01,8926363432826.3
2013-01-01,9619598215288.48
2014-01-01,10333926843443.8
2015-01-01,11061572618578.7
2016-01-01,11819153423353.8
2017-01-01,12640253743744.4
2018-01-01,13493442283300.8
2019-01-01,14296369668065.2
2020-01-01,14616413683019.5
2021-01-01,15851276922873.1
2022-01-01,16318995784492.7
2023-01-01,17175670911003.5
