date,china_imports
1960-01-01,1890589999.87408
1961-01-01,1408090000.07718
1962-01-01,1127719999.80502
1963-01-01,1210669999.98781
1964-01-01,1481100000.04062
1965-01-01,1916420000.08937
1966-01-01,2185300000.12186
1967-01-01,1919860000.10561
1968-01-01,1845220000.00812
1969-01-01,1731190000.1178
1970-01-01,2201559999.98375
1971-01-01,2233127000.10439
1972-01-01,2916450000.13363
1973-01-01,5257790999.97185
1974-01-01,7716197999.90516
1975-01-01,8355049999.91935
1976-01-01,7349809000.1365
1977-01-01,8060398000.24007
1978-01-01,12261700000.0
1979-01-01,15535283000.0
1980-01-01,21842710000.0
1981-01-01,22219750000.0
1982-01-01,17788124795.0382
1983-01-01,19385304449.4253
1984-01-01,24710305080.7143
1985-01-01,38302403273.8095
1986-01-01,33592580690.4348
1987-01-01,33781853910.0897
1988-01-01,48984701330.0411
1989-01-01,46118793490.081
1990-01-01,38461758920.0765
1991-01-01,43941659163.7631
1992-01-01,61849400125.5887
1993-01-01,86072328749.7039
1994-01-01,97250445198.3311
1995-01-01,119900826003.539
1996-01-01,137261876999.221
1997-01-01,144623819995.061
1998-01-01,144913704695.688
1999-01-01,168058444272.642
2000-01-01,224306238156.073
2001-01-01,243973790223.785
2002-01-01,295619639657.425
2003-01-01,412137124710.207
2004-01-01,556182551580.013
2005-01-01,648712207875.287
2006-01-01,782812463256.126
2007-01-01,950020767155.498
2008-01-01,1149036249792.23
2009-01-01,1042533759648.07
2010-01-01,1432422435977.06
2011-01-01,1825413639206.37
2012-01-01,1943205232867.15
2013-01-01,2119392421427.69
2014-01-01,2241276198979.27
2015-01-01,2003260696068.67
2016-01-01,1944490534275.23
2017-01-01,2208518918632.2
2018-01-01,2564121910994.89
2019-01-01,2496153305902.9
2020-01-01,2374737462777.69
2021-01-01,3093278397249.18
2022-01-01,3140040863536.23
2023-01-01,3127201616050.71
