date,china_industrial_output
1960-01-01,26508961499.4502
1961-01-01,15984180738.6357
1962-01-01,14781812886.3775
1963-01-01,16768157074.7365
1964-01-01,21094244110.7332
1965-01-01,24717595881.7276
1966-01-01,29059931131.944
1967-01-01,24697285613.953
1968-01-01,22040702589.0311
1969-01-01,28231272206.739
1970-01-01,37293713687.78
1971-01-01,41835089562.1878
1972-01-01,48622178590.7408
1973-01-01,59328968903.437
1974-01-01,61179731651.5621
1975-01-01,74130710288.022
1976-01-01,69330874645.5549
1977-01-01,81697772069.7827
1978-01-01,71346073861.7886
1979-01-01,83710091404.3478
1980-01-01,91861887879.1667
1981-01-01,90040464154.7619
1982-01-01,91512266652.6718
1983-01-01,102029573153.257
1984-01-01,111597607692.857
1985-01-01,132189524047.619
1986-01-01,130873170301.449
1987-01-01,118247369383.408
1988-01-01,135950488279.835
1989-01-01,147787569514.17
1990-01-01,148070534143.403
1991-01-01,159051605609.756
1992-01-01,184066130784.929
1993-01-01,205361498360.615
1994-01-01,260508242791.321
1995-01-01,343375643845.829
1996-01-01,406862577694.119
1997-01-01,452905359298.04
1998-01-01,471285497643.544
1999-01-01,496238663727.237
2000-01-01,551593230818.032
2001-01-01,599963366713.914
2002-01-01,653671223470.172
2003-01-01,757466220411.966
2004-01-01,897508305660.605
2005-01-01,1074917875730.22
2006-01-01,1308836011266.41
2007-01-01,1664541695519.65
2008-01-01,2158013850478.98
2009-01-01,2344591704077.16
2010-01-01,2830412139429.02
2011-01-01,3513680559814.57
2012-01-01,3875572922800.49
2013-01-01,4227918745809.63
2014-01-01,4513482520281.0
2015-01-01,4517694479123.13
2016-01-01,4446215389771.78
2017-01-01,4905939884031.9
2018-01-01,5514473724406.01
2019-01-01,5510269346511.52
2020-01-01,5558256838203.64
2021-01-01,7001796115584.26
2022-01-01,7032488457155.08
2023-01-01,6812375152229.01
