date,US,EU,CN
1960-01-01,180671000,270148970,667070000
1961-01-01,183691000,272472951,660330000
1962-01-01,186538000,274815182,665770000
1963-01-01,189242000,277205348,682335000
1964-01-01,191889000,279621056,698355000
1965-01-01,194303000,282028347,715185000
1966-01-01,196560000,284299197,735400000
1967-01-01,198712000,286298506,754550000
1968-01-01,200706000,288206171,774510000
1969-01-01,202677000,290179378,796025000
1970-01-01,205052000,291834356,818315000
1971-01-01,207661000,293516097,841105000
1972-01-01,209896000,295527442,862030000
1973-01-01,211909000,297413652,881940000
1974-01-01,213854000,299065145,900350000
1975-01-01,215973000,300516726,916395000
1976-01-01,218035000,301804324,930685000
1977-01-01,220239000,303021757,943455000
1978-01-01,222585000,304275086,956165000
1979-01-01,225055000,305541545,969005000
1980-01-01,227225000,306894340,981235000
1981-01-01,229466000,308127421,993885000
1982-01-01,231664000,308901125,1008630000
1983-01-01,233792000,309543455,1023310000
1984-01-01,235825000,310046458,1036825000
1985-01-01,237924000,310617659,1051040000
1986-01-01,240133000,311372728,1066790000
1987-01-01,242289000,312223048,1084035000
1988-01-01,244499000,313272522,1101630000
1989-01-01,246819000,314634075,1118650000
1990-01-01,249623000,316087007,1135185000
1991-01-01,252981000,317407910,1150780000
1992-01-01,256514000,318742973,1164970000
1993-01-01,259919000,320053176,1178440000
1994-01-01,263126000,321024031,1191835000
1995-01-01,266278000,321808185,1204855000
1996-01-01,269394000,322568383,1217550000
1997-01-01,272657000,323306275,1230075000
1998-01-01,275854000,323976358,1241935000
1999-01-01,279040000,324781951,1252735000
2000-01-01,282162411,325789631,1262645000
2001-01-01,284968955,326858314,1271850000
2002-01-01,287625193,328438861,1280400000
2003-01-01,290107933,330200359,1288400000
2004-01-01,292805298,331997265,1296075000
2005-01-01,295516599,333700554,1303720000
2006-01-01,298379912,335243820,1311020000
2007-01-01,301231207,336965048,1317885000
2008-01-01,304093966,338594025,1324655000
2009-01-01,306771529,339676755,1331260000
2010-01-01,309327143,340460814,1337705000
2011-01-01,311583481,339719975,1345035000
2012-01-01,313877662,340447763,1354190000
2013-01-01,316059947,341575309,1363240000
2014-01-01,318386329,342713336,1371860000
2015-01-01,320738994,343698622,1379860000
2016-01-01,323071755,344655545,1387790000
2017-01-01,325122128,345333240,1396215000
2018-01-01,326838199,346105839,1402760000
2019-01-01,328329953,346454019,1407745000
2020-01-01,331526933,346922366,1411100000
2021-01-01,332048977,347094588,1412360000
2022-01-01,333271411,348627172,1412175000
2023-01-01,334914895,349670802,1410710000
